"","variable","summ","modelName"
"1","(Intercept)","1.94 (1.68, 2.26)","M1"
"2","EGO_ID","0.76 (0.41, 1.15)","M1"
"3","units","1 (1, 1)","M1"
"4","(Intercept)","1.98 (1.67, 2.3)","M2"
"5","EGO_ID","0.78 (0.39, 1.19)","M2"
"6","ALTER_ID_1","0.11 (0, 0.42)","M2"
"7","units","1 (1, 1)","M2"
"8","(Intercept)","1.42 (0.94, 1.87)","M3"
"9","EGO_AREA_IDArea 2","0.44 (-0.23, 1.08)","M3"
"10","EGO_AREA_IDArea 3","1.05 (0.44, 1.65)","M3"
"11","EGO_AREA_IDArea 4","-0.13 (-0.95, 0.66)","M3"
"12","EGO_AREA_IDArea 5","0.8 (0.1, 1.51)","M3"
"13","EGO_ID","0.58 (0.25, 0.9)","M3"
"14","ALTER_ID_1","0.08 (0, 0.29)","M3"
"15","units","1 (1, 1)","M3"
"16","(Intercept)","1.76 (1.09, 2.34)","M4"
"17","EGO_AREA_IDArea 2","0.65 (-0.12, 1.36)","M4"
"18","EGO_AREA_IDArea 3","1.22 (0.61, 1.88)","M4"
"19","EGO_AREA_IDArea 4","-0.24 (-1.12, 0.68)","M4"
"20","EGO_AREA_IDArea 5","0.85 (0.12, 1.64)","M4"
"21","ALTER_TYPE_XExercise","-0.67 (-1.19, -0.12)","M4"
"22","ALTER_TYPE_XFamily/Friends","-0.75 (-1.28, -0.28)","M4"
"23","ALTER_TYPE_XFood","-0.53 (-1.01, 0.04)","M4"
"24","ALTER_TYPE_XGP Health","-0.28 (-0.9, 0.39)","M4"
"25","ALTER_TYPE_XIEP","0.67 (-0.8, 2.26)","M4"
"26","ALTER_TYPE_XMental Health","-0.65 (-1.33, 0.02)","M4"
"27","ALTER_TYPE_XPeer Support","0.69 (-0.13, 1.42)","M4"
"28","ALTER_TYPE_XPharmacy","1 (0.36, 1.52)","M4"
"29","ALTER_TYPE_XSocial Work","-0.29 (-1.21, 0.75)","M4"
"30","ALTER_TYPE_XSupplier","-0.39 (-1.09, 0.33)","M4"
"31","EGO_ID","0.75 (0.33, 1.18)","M4"
"32","ALTER_ID_1","0.07 (0, 0.26)","M4"
"33","units","1 (1, 1)","M4"
"34","(Intercept)","1.75 (1.08, 2.53)","M5"
"35","EGO_AREA_IDArea 2","0.61 (-0.14, 1.37)","M5"
"36","EGO_AREA_IDArea 3","1.2 (0.58, 1.81)","M5"
"37","EGO_AREA_IDArea 4","-0.24 (-1.13, 0.66)","M5"
"38","EGO_AREA_IDArea 5","0.83 (0.11, 1.64)","M5"
"39","EGO_GENDERM","0.04 (-0.43, 0.53)","M5"
"40","ALTER_TYPE_XExercise","-0.67 (-1.28, -0.12)","M5"
"41","ALTER_TYPE_XFamily/Friends","-0.74 (-1.26, -0.25)","M5"
"42","ALTER_TYPE_XFood","-0.53 (-1.09, 0)","M5"
"43","ALTER_TYPE_XGP Health","-0.29 (-0.89, 0.37)","M5"
"44","ALTER_TYPE_XIEP","0.7 (-0.68, 2.25)","M5"
"45","ALTER_TYPE_XMental Health","-0.64 (-1.28, 0.11)","M5"
"46","ALTER_TYPE_XPeer Support","0.71 (-0.1, 1.55)","M5"
"47","ALTER_TYPE_XPharmacy","0.99 (0.41, 1.59)","M5"
"48","ALTER_TYPE_XSocial Work","-0.28 (-1.27, 0.76)","M5"
"49","ALTER_TYPE_XSupplier","-0.41 (-1.12, 0.32)","M5"
"50","EGO_ID","0.76 (0.33, 1.18)","M5"
"51","ALTER_ID_1","0.08 (0, 0.32)","M5"
"52","units","1 (1, 1)","M5"
"53","(Intercept)","1.76 (1.09, 2.34)","M6"
"54","EGO_AREA_IDArea 2","0.65 (-0.12, 1.36)","M6"
"55","EGO_AREA_IDArea 3","1.22 (0.61, 1.88)","M6"
"56","EGO_AREA_IDArea 4","-0.24 (-1.12, 0.68)","M6"
"57","EGO_AREA_IDArea 5","0.85 (0.12, 1.64)","M6"
"58","ALTER_TYPE_XExercise","-0.67 (-1.19, -0.12)","M6"
"59","ALTER_TYPE_XFamily/Friends","-0.75 (-1.28, -0.28)","M6"
"60","ALTER_TYPE_XFood","-0.53 (-1.01, 0.04)","M6"
"61","ALTER_TYPE_XGP Health","-0.28 (-0.9, 0.39)","M6"
"62","ALTER_TYPE_XIEP","0.67 (-0.8, 2.26)","M6"
"63","ALTER_TYPE_XMental Health","-0.65 (-1.33, 0.02)","M6"
"64","ALTER_TYPE_XPeer Support","0.69 (-0.13, 1.42)","M6"
"65","ALTER_TYPE_XPharmacy","1 (0.36, 1.52)","M6"
